timestamp,age,subscribed,work,like,add,expert,invest,income,capital,roi,passive,hopes,pains,barriers,area,area_m,buy,price
12/19/2022 19:00:14,45-55,Меньше месяца,"Специалист-фрилансер (таргет, СММ, копирайтинг, сторисмейкинг и.т.д)",Тест,Тест,Тест,Занимаюсь инвестированием больше года,3+ млн. руб,200000,30,3 млн,Я буду счастлив,Подрядчики,"Боюсь почувствовать себя дураком, если не получится",Недвижимость,Внутридневная торговля,"Зависит от того, что будет внутри продукта",30000
12/19/2022 19:21:39,45-55,1-3 месяца,Строитель,Анализ,"Конкретные шаги по работе на бирже , анализ лучших акций офз и т.д. ",Неторопиться,"Да, меньше 2-х месяцев",50-100 тыс. руб,100 000,,Скорее сохранение некорректный вопрос( за какое время?),Ничего,Сохранение накоплений,,Самостоятельная торговля на фондовом рынке,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",10 К
12/19/2022 19:22:46,31-34,1-2 года,Работаю в найме,Полезные советы ,Всего хватает ,Получение постоянного дохода от инвестиций ,Занимаюсь инвестированием больше года,150-300 тыс. руб,1000000,,200000 в месяц ,Перестану работать в найме ,Доход ниже уровня желаемого,,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля","Зависит от того, что будет внутри продукта",5000-7000 рублей 
12/19/2022 19:23:29,18-21,3-6 месяцев,Учусь в школе/универе,Аналитика компаний и рекомендации,Побольше рекомендаций по инвестициям ,Правильно инвестировать и преумножать доход ,"Пробовал-(а), но сейчас не инвестирую",50-100 тыс. руб,10000,,50-100 тыс для начала ,Мышление,"Сложно на это ответить, видимо не так плохо ","Вкладываюсь, а доход не растёт ",Фондовый рынок РФ,"Экономия и планирование расходов, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,2 тыс
12/19/2022 19:23:34,45-55,Пол года - год,пенсионерка,чёткость и ясность,вроде всего хватает,зарабатывать на бирже,Занимаюсь инвестированием больше года,До 20 тыс. руб,50 000,хотя бы 20%,около 15%,улучшение качества жизни,"1. теряю деньги, портфель весь красный; 2. не могу сохранить свой капитал; 3. боюсь лезть в крипту",,"всё, кроме первого","Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля, Торговля фьючерсами и опционами, Криптовалюта","Зависит от того, что будет внутри продукта",этот вопрос не ко мне)))
12/19/2022 19:23:44,45-55,Пол года - год,Врач,Аналитика,"Больше анализа графиков, патернов",Затрудняюсь ответить,Занимаюсь инвестированием больше года,100-150 тыс. руб,400000 на ИИС в следующем году ,20%,15%,Хочу добавку к будущей пенсии,Неудачное инвестирование,"Инвестируют, но не очень успешно ",Самостоятельная торговля на фондовом рынке,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Внутридневная торговля",Сомневаюсь ,Зависит от наполнения
12/19/2022 19:24:04,25-30,Пол года - год,Работаю в найме,"Советы для простых смертных, не обладающих большим капиталом",Больше рассказывайте о способах инвестирования для новичков,"Трудно сказать, для меня как человеку не разбирающегося, ваше мнение в большинстве аспектах авторитетно",Планирую начать,50-100 тыс. руб,50-200 т.р.,10-155%,50-100 т.р.,"Наёмный труд в нынешних условиях-это рабство, если получится хотябы частично от него освободится будет здорово",Нет возможности приобрести собственное жильё без использования заёмных средств на кабальных условиях,Отсутствие свободных финансов,Зарубежные фондовые рынки,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,Без понятия
12/19/2022 19:25:28,45-55,1-2 года,Работаю в найме,Ваши разъяснения,Рекомендаций инвестиционных ,Отбор акций на долгосрок ,Занимаюсь этим 6-12 месяцев,100-150 тыс. руб,50 000 ,Выше инфляции на 10%,70000-100000,"Буду продолжать инвестировать, пенсия скоро, отдыхать ",1. Работа 2. Зарплата 3. Возможность инвестировать более 50 000 т.р.,,Зарубежные фондовые рынки,"Экономия и планирование расходов, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Создание собственного инвестиционного портфеля и управление им, Торговля фьючерсами и опционами","Зависит от того, что будет внутри продукта","Эквивалентен, стоимости вложенных средств "
12/19/2022 19:25:33,Больше 55,Больше двух лет,Работаю в найме,Здравый подход к инвестициям,"Аналитики, идей",Инвестировать грамотно,Занимаюсь инвестированием больше года,50-100 тыс. руб,"Хотелось бы вкладывать 50 тыс ежемесячно, но пока не разморозят Ицб страшно",15-20,10-20 тыс,Появится уверенность в закрытии минимальных потребностей,"Отсутствие стабильности, неуверенность что накопления сгорят/заморозят",,Зарубежные фондовые рынки,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Внутридневная торговля","Зависит от того, что будет внутри продукта",10 тыс
12/19/2022 19:26:36,45-55,1-2 года,Работаю в найме,Фондовый рынок,Психология начинающим инвесторам.,Зарабатывать деньги,Занимаюсь инвестированием больше года,До 20 тыс. руб,100000 руб.,,100000 руб в месяц.,"Смогу не работать, а заниматься хобби.","Не получается зарабатывать больше 30 т.р.
Не устроиться на работу в IT.",,Фондовый рынок РФ,"Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Криптовалюта",Зависит от стоимости,Без понятия.
